Anne_Hathaway_B2FF4B5A-4AD0-44B9-8D6C-EADCB262478B,Richard_Hathaway
Anne_Shakespeare,John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9
Anne_Shakespeare,Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD
Edmund_Shakespeare,John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9
Edmund_Shakespeare,Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD
Elizabeth_Shakespeare,John_Hall
Elizabeth_Shakespeare,Susanna_Shakespeare_6FFF84C2-B39B-48FC-A793-43B25840D64B
Gilbert_Shakespeare,John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9
Gilbert_Shakespeare,Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD
Hamnet_Shakespeare_6886B777-134F-4F41-B3C5-FFDC1B65A103,Anne_Hathaway_B2FF4B5A-4AD0-44B9-8D6C-EADCB262478B
Hamnet_Shakespeare_6886B777-134F-4F41-B3C5-FFDC1B65A103,William_Shakespeare_A97E375D-4E76-4C50-AADD-DEB6D45C4FFD
Henry_Shakespeare,-_Unknown
Henry_Shakespeare,Richard_Shakespeare
Joan_Shakespeare,John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9
Joan_Shakespeare,Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD
John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9,-_Unknown
John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9,Richard_Shakespeare
Judith_Shakespeare_56C30BCD-7EBA-41A3-8B56-FD626F6B9F69,Anne_Hathaway_B2FF4B5A-4AD0-44B9-8D6C-EADCB262478B
Judith_Shakespeare_56C30BCD-7EBA-41A3-8B56-FD626F6B9F69,William_Shakespeare_A97E375D-4E76-4C50-AADD-DEB6D45C4FFD
Margaret_Shakespeare,John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9
Margaret_Shakespeare,Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD
Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD,Agnes_Webbe
Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD,Robert_Arden
Not_named_Quiney,Margaret_Wheeler
Not_named_Quiney,Thomas_Quiney
Richard_Quiney,Judith_Shakespeare_56C30BCD-7EBA-41A3-8B56-FD626F6B9F69
Richard_Quiney,Thomas_Quiney
Richard_Shakespeare,John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9
Richard_Shakespeare,Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD
Shakespeare_Quiney,Judith_Shakespeare_56C30BCD-7EBA-41A3-8B56-FD626F6B9F69
Shakespeare_Quiney,Thomas_Quiney
Susanna_Shakespeare_6FFF84C2-B39B-48FC-A793-43B25840D64B,Anne_Hathaway_B2FF4B5A-4AD0-44B9-8D6C-EADCB262478B
Susanna_Shakespeare_6FFF84C2-B39B-48FC-A793-43B25840D64B,William_Shakespeare_A97E375D-4E76-4C50-AADD-DEB6D45C4FFD
Thomas_Quiney,Judith_Shakespeare_56C30BCD-7EBA-41A3-8B56-FD626F6B9F69
Thomas_Quiney,Thomas_Quiney
William_Shakespeare_A97E375D-4E76-4C50-AADD-DEB6D45C4FFD,John_Shakespeare_C6BD3CA5-F0B0-4EAD-B67B-B3255146E6C9
William_Shakespeare_A97E375D-4E76-4C50-AADD-DEB6D45C4FFD,Mary_Arden_F30C69D4-1267-470C-B7E7-912565657AAD
